ID,Parent Product ID,WPML Translation ID,WPML Language Code,Title,Content,Sku,Regular Price,Sale Price,Stock Status,Stock,Tags,Category,SEO title,SEO Description,visible_roles,invisible_roles,Tax Class,Tax Status,Superdaycare Price,Daycare Price,Daycare Staff Price,Parent Price,Parent Extra Price
626,0,504,nl,Diepvries ui gesneden 2.5kg,"<p>Product: Diepvries ui gesneden<br />
Formaat: 2.5kg</p>",diepvries-ui-gesneden-2-5kg,3.35,,instock,,ajuin|ajuinen|Diepvries|diepvries ui|geneden ui|gesneden uien|ui|uien,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
628,0,511,nl,Diepvries prei (zonder room) 2.5kg,"<p>Product: Diepvries prei (zonder room)<br />
Formaat: 2.5kg</p>",diepvries-prei-zonder-room-2-5kg,3.02,,instock,,Diepvries|diepvries gesneden prei|diepvries prei|diepvries prei zonder room|gesneden prei|prei|prei zonder room,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
631,0,517,nl,Passata 500g,"<p>Product: Passata<br />
Formaat: 500g</p>",passata-500g,0.31,,instock,,passata,Supermarkt>Groenten>Pot en blik,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
633,0,519,nl,Vuilzak 60l 15st,"<p>Product: Vuilzak 60l<br />
Formaat: 15st</p>",vuilzak-60l-15st,0.62,,instock,,afval|vuilniszak|vuilzak,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
636,0,523,nl,Afwasmiddel citroen 1l,"<p>Product: Afwasmiddel citroen<br />
Formaat: 1l</p>",afwasmiddel-citroen-1l,0.54,,instock,,afwas|afwasmiddel|citroen,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
638,0,527,nl,WC ontkalker Harpic 750ml,"<p>Product: WC ontkalker Harpic<br />
Formaat: 750ml</p>",wc-ontkalker-harpic-750ml,12100,,instock,,harpic|ontkalker|toiletreiniger|wc,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
640,0,531,nl,Allesreiniger 2l,"<p>Product: Allesreiniger<br />
Formaat: 2l</p>",allesreiniger-2l,7355,,instock,,2l|allesreiniger|citroen|poetsmiddel,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
642,0,534,nl,Kruidenkaas 150g,"<p>Product: Kruidenkaas<br />
Formaat: 150g</p>",kruidenkaas-150g,0.65,,instock,,kaas|kruiden|kruidenkaas|zuivel,Supermarkt>Brood &amp; beleg,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
644,0,536,nl,Olijfolie EV 1l,"<p>Product: Olijfolie extra vergine<br />
Formaat: 1l</p>",olijfolie-ev-1l,4.08,,instock,,extra vergine|olie|olijfolie|vergine,Supermarkt>Smaak/ olie/ toppings,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
646,0,540,nl,Chocopasta 750g,"<p>Product: Chocopasta<br />
Formaat: 750g</p>",chocopasta-750g,1.88,,instock,,choco|chocolade|chocopasta,Supermarkt>Brood &amp; beleg,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
648,0,544,nl,Cake tijgerrol,"<p>Product: Cake tijgerrol<br />
Formaat: 300g</p>",cake-tijgerrol,0.81,,instock,,cake|cake tijgerrol|tijgerrol,Supermarkt>Sauzen,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
650,0,548,nl,Diepvries bonen 1.5kg,"<p>Product: Diepvries bonen<br />
Formaat: 1.5kg</p>",diepvries-bonen-1-5kg,1265,,instock,,bonen|Diepvries,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
652,0,550,nl,Diepvries tomatenblokjes 2.5kg,"<p>Product: Diepvries tomatenblokjes<br />
Formaat: 2.5kg</p>",diepvries-tomatenblokjes-2-5kg,3.89,,instock,,Diepvries|diepvries tomatenblokjes|tomaten|tomatenblok|tomatenblokjes,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
